loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
weibull,15,1.5,0.00024070005765101777,0.2,8,32,3,32,0.00023642662948833397,0.06039226055145264,0.06562332063913345,0.09580324590206146,0.12376335263252258,0.152460977435112,0.09526531398296356,0.178113654255867
huber,28,1.5,0.000896045701608954,0.1,8,16,3,32,7.0906297019074e-05,0.022698549553751945,0.032793838530778885,0.1160074919462204,0.13630585372447968,0.16022785007953644,0.10915353894233704,0.2729748487472534
huber,15,2.75,5.484187100747621e-05,0.2,8,32,3,32,1.2729693509634146e-06,0.11622021347284317,0.12061098217964172,0.0697089433670044,0.10696109384298325,0.16220763325691223,0.01866908371448517,0.6201575398445129
weibull,5,3.5,0.000110906664491409,0.2,8,32,3,32,7.894604677478734e-05,0.14622841775417328,0.15154051780700684,0.06100798025727272,0.0823124423623085,0.1953185796737671,-0.0041638449765741825,0.34224367141723633
weibull,45,2,0.0001318610930385429,0.1,8,16,2,32,0.00013094565140823127,0.04313322529196739,0.04944963753223419,0.0961536169052124,0.12385469675064087,0.14479289948940277,0.09413330256938934,0.21381868422031403
huber,28,3.5,0.0009165100378172624,0.2,8,32,2,32,1.3036262810496856e-05,0.02269602008163929,0.03447205573320389,0.08830662816762924,0.11799805611371994,0.15683729946613312,0.07392092049121857,0.2223794013261795
weibull,45,2,7.77625616012962e-05,0.1,8,16,2,32,0.00015782633659752352,0.07794799655675888,0.0827777236700058,0.07207785546779633,0.10456689447164536,0.14579536020755768,0.06731268763542175,0.2117922455072403
huber,5,2.75,6.645630232297108e-05,0.1,8,32,2,32,0.0004570445413618981,0.14949610829353333,0.15479139983654022,0.06424946337938309,0.0875474363565445,0.14355407655239105,-0.013427842408418655,0.3724750876426697
huber,28,2.75,6.745715864457778e-05,0.2,8,32,3,32,0.00016131681538011664,0.06852754950523376,0.07336721569299698,0.09058516472578049,0.12014225870370865,0.15348416566848755,0.08659926056861877,0.2677993178367615
huber,28,2.75,0.0008312730702287682,0.1,8,16,2,32,0.0001767876970858989,0.026461418718099594,0.03512738272547722,0.09909486770629883,0.12510918080806732,0.16490548849105835,0.09721986204385757,0.22468870878219604
weighted_mse,5,2,0.0008225244567140688,0.3,8,32,2,32,3.0125510419010244e-06,0.026787687093019485,0.04036213085055351,0.09107060730457306,0.11787104606628418,0.1346302032470703,0.0648268535733223,0.31545060873031616
weibull,28,3.5,0.0001394308917334504,0.1,8,16,2,32,0.00017280813279440304,0.04011563956737518,0.046601347625255585,0.09480155259370804,0.12225504219532013,0.14436504244804382,0.09034160524606705,0.2390955537557602
huber,5,3.5,0.0006331214822204217,0.1,8,16,3,32,3.866905727360701e-06,0.02042696811258793,0.03235037997364998,0.11739563941955566,0.13874204456806183,0.15235073864459991,0.11685063689947128,0.20741529762744904
huber,5,2.75,0.0005343940741593776,0.1,8,16,2,32,0.00039137039778231304,0.02674875594675541,0.037016861140728,0.09971622377634048,0.12741190195083618,0.16188551485538483,0.08602899312973022,0.2559618651866913
weibull,45,2.75,0.0002065618146932285,0.1,8,32,2,32,0.00013117981681639586,0.05795980617403984,0.06324902921915054,0.08432700484991074,0.11321820318698883,0.14563196897506714,0.08209855109453201,0.21487365663051605
weibull,15,3.5,3.943036019056645e-05,0.2,8,32,3,32,4.4024208651323274e-05,0.12739166617393494,0.1310819536447525,0.055231641978025436,0.08926572650671005,0.15708699822425842,0.035854458808898926,0.2992997169494629
weibull,5,2.75,2.8447422699862723e-05,0.2,8,32,3,32,0.00025766151069869515,0.1303865611553192,0.13408958911895752,0.0540132075548172,0.08400516211986542,0.20005741715431213,0.019135527312755585,0.3608505129814148
weighted_mse,45,2.75,0.00019421170062165424,0.2,8,32,2,32,0.00011622593514858458,0.06838730722665787,0.0730728730559349,0.08217702060937881,0.11048471182584763,0.14030732214450836,0.07954344153404236,0.23794199526309967
